n_id,nbName,nwName,nbyear,enter
65,(누구나 따라 할 수 있는) 돈이 되는 발명?특허,김상준 지음,2021,20221027
66,우주는 계속되지 않는다 :천체물리학자가 바라본 우주의 종말,케이티 맥 저,2021,20221027
67,(난해하고 복잡했던 상대성 이론이 쉽게 이해되는) 상대성 이론 아는 척하기,브루스 바셋 지음,2021,20221027
68,우리의 태도가 과학적일 때,이종필 지음,2021,20221027
69,요리의 방점 경이로운 신맛 :셰프를 유혹하는 신맛과 산미료의 과학,최낙언 지음,2021,20221027
70,온통 미생물 세상입니다 :연세대 최우수 강의 교수가 들려주는 미생물학 강의,김응빈 지음,2021,20221027
71,얘들아 생태환경 놀이 가자! :포스트 코로나 시대 필수 미래교육,김용만 지음,2021,20221027
72,애니멀카인드 :동물을 위한 작은 혁명,잉그리드 뉴커크,2021,20221027
73,(고등과학원 수학부 김상현 교수의) 수학은 상상,김상현 지음,2021,20221027
74,화면 속에 갇힌 아이들 구하기 :글로벌 SNS 사업가가 권하는 스마트한 스마트 기기 이용 습관,션 허먼 지음,2021,20221027
75,호남항일민족교육전개사 .2 호남항일민족교육전개사,김경식 저,2021,20221027
76,헌법재판소법,이환경 지음,2021,20221027
77,한국통화금융사 .1 개항~광복 이전 =History of money and financial systems in Korea,배영목 지음,2021,20221027
78,한국의 선택 :한미동맹의 새로운 동반자 러시아,김태유,2021,20221027
79,토닥토닥 걷기학교 :길 위의 희망,이병주 지음,2021,20221027
80,테이크 오프 :치열한 온라인 시장에서 마케팅 차별화를 위한 12가지 법칙 =Take off,이상규 지음,2021,20221027
81,시체를 보는 식물학자 :식물의 사계에 새겨진 살인의 마지막 순간,마크 스펜서 지음,2021,20221027
82,숲에서 태어나 길 위에 서다 :현장 과학자의 야생동물 로드킬의 기록,우동걸 지음,2021,20221027
83,숫자의 함정 :숫자의 홍수 속에서 당신을 구해줄 명쾌한 안내서,윌리엄 하트스톤 지음,2021,20221027
84,코로나19 바이러스 대유행과 각국의 대응,홍사철 지음,2021,20221027
85,숫자 없는 수학책 :하버드 천재 소년이 보여주는 구조와 패턴의 세계,마일로 베크먼 지음,2021,20221027
86,생활사 상속으로 본 성의 진화와 용불용으로 본 종의분화 :진화를 보는 새로운 눈 생활사 상속과 용불용,권성희 지음,2021,20221027
87,잘되는 학원 다 이유가 있다 :학생|학부모|선생님|원장 모두가 행복한 학원을 꿈꾼다,김위아 지음,2021,20221027
88,장사의 혼 :이태원 상권 20평 매장에서 월 1억 원 매출 올리는 비결,마숙희 지음,2021,20221027
